Seed	Size	Fitness	Members
YBR089C-A	7	0.086016851	YDL002C,YPR065W,YKL032C,YDR174W,YPR052C,YMR072W
YBR095C	14	0.691169763	YKL185W,YNL097C,YPL181W,YMR263W,YIL084C,YAL013W,YPL139C,YOL004W,YNL330C,YDR207C,YMR075W,YJR094C,YMR176W
YBR097W	5	0.439225707	YPL120W,YLR240W,YLR360W,YBR128C
YBR098W	2	0.37995748	YDR386W
YBR102C	8	0.679635186	YIL068C,YJL085W,YLR166C,YER008C,YGL233W,YPR055W,YDR166C
YBR103W	9	0.696648316	YDR155C,YGL194C,YKR029C,YIL112W,YCR033W,YOL068C,YDR310C,YOR279C
YBR104W	9	1	YBL030C,YBR192W,YDL198C,YFR045W,YIL006W,YMR056C,YMR241W,YPR128C
YBR105C	7	0.790128007	YDR255C,YIL097W,YGL227W,YIL017C,YMR135C,YCL039W
YBR109C	7	0.494574108	YNL225C,YDR356W,YKL042W,YPL124W,YAL047C,YDL239C
YBR111W-A	24	0.624631558	YCL010C,YLR055C,YPL047W,YER164W,YGL066W,YOL148C,YMR223W,YDR392W,YBR081C,YBR198C,YDR145W,YGL112C,YMR236W,YDR167W,YGR252W,YDR448W,YDR176W,YPL254W,YHR099W,YCR042C,YPL011C,YOR023C,YER148W
YBR112C	4	0.103587374	YCR084C,YNL167C,YCR060W
YBR114W	6	0.432576601	YJR052W,YPL046C,YGR003W,YKL112W,YNL230C
YBR118W	4	0.189754528	YPR080W,YPL048W,YAL003W
YBR119W	32	0.552466113	YHR086W,YIL061C,YDR235W,YDR240C,YKL012W,YGR013W,YLR298C,YPL178W,YOR159C,YPR182W,YLR275W,YGR074W,YER029C,YFL017W-A,YLR147C,YLR116W,YMR125W,YIR009W,YDL209C,YDR432W,YPR163C,YBL051C,YPL213W,YMR288W,YML049C,YMR240C,YDL030W,YJL203W,YJL124C,YPR094W,YGR278W
YBR122C	42	0.939697587	YPR100W,YLR312W-A,YNL185C,YMR286W,YKL138C,YKL170W,YBR268W,YCR046C,YNL177C,YGL068W,YOR150W,YPL183W-A,YJL063C,YMR193W,YDR115W,YDL202W,YDR116C,YGR076C,YNR022C,YMR225C,YKR085C,YHR147C,YCR003W,YMR024W,YDR405W,YML009C,YBR282W,YPL173W,YLR439W,YJL096W,YKR006C,YKL167C,YCR071C,YDR462W,YNL284C,YML025C,YBL038W,YNL252C,YDR237W,YDR322W,YNL005C
YBR125C	6	0.499637998	YJL005W,YCR079W,YDL006W,YER089C,YBL056W
YBR126C	3	1	YML100W,YMR261C
YBR127C	16	0.893809908	YDL185W,YHR026W,YPL234C,YEL027W,YLR447C,YPR036W,YGR020C,YHR039C-A,YEL051W,YKL080W,YOR332W,YMR054W,YOR270C,YDR202C,YJR033C
YBR128C	4	0.258374475	YLR240W,YPL120W,YLR360W
YBR131W	2	1	YGL124C
YBR136W	7	0.071674153	YHR099W,YJR066W,YKL203C,YBL088C,YLR240W,YBR097W
